algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,1,1309,28,69,0.005792140960693359,True
BFS,2,5211,70,83,0.026201248168945312,True
BFS,3,2012,34,75,0.009901762008666992,True
BFS,4,3835,52,203,0.01933908462524414,True
BFS,5,1137,28,67,0.0044786930084228516,True
BFS,6,5421,61,172,0.03850555419921875,True
BFS,7,5510,61,163,0.031748294830322266,True
BFS,8,1243,27,73,0.005260467529296875,True
BFS,9,36,6,21,0.00011992454528808594,True
BFS,10,1208,39,144,0.004153728485107422,True
BFS,11,5894,68,134,0.03241109848022461,True
BFS,12,2601,55,84,0.010295629501342773,True
BFS,13,4333,81,176,0.018485069274902344,True
BFS,14,111,10,20,0.0003113746643066406,True
BFS,15,5435,63,185,0.05361199378967285,True
BFS,16,636,20,27,0.002361297607421875,True
BFS,17,7617,84,290,0.06396842002868652,True
BFS,18,711,22,63,0.002537965774536133,True
BFS,19,5180,64,205,0.02688884735107422,True
BFS,20,280,14,17,0.0008969306945800781,True
BFS,21,4472,75,252,0.01947164535522461,True
BFS,22,7388,102,122,0.034465789794921875,True
BFS,23,671,34,62,0.0019519329071044922,True
BFS,24,5905,93,341,0.02654576301574707,True
BFS,25,7908,97,211,0.03987932205200195,True
BFS,26,6820,100,146,0.03221249580383301,True
BFS,27,3759,50,151,0.019426345825195312,True
BFS,28,4905,82,100,0.02190089225769043,True
BFS,29,8575,115,331,0.040944576263427734,True
BFS,30,8943,127,437,0.04246807098388672,True
DFS,1,1907,0,0,0.005684375762939453,False
DFS,2,6983,0,0,0.019019603729248047,False
DFS,3,2123,0,0,0.0065195560455322266,False
DFS,4,3787,0,0,0.010808944702148438,False
DFS,5,29,28,110,0.00011801719665527344,True
DFS,6,7579,0,0,0.019898414611816406,False
DFS,7,872,848,2370,0.0027620792388916016,True
DFS,8,459,419,1207,0.0013175010681152344,True
DFS,9,8931,208,647,0.0485386848449707,True
DFS,10,5943,0,0,0.040961503982543945,False
DFS,11,2629,0,0,0.007663249969482422,False
DFS,12,8199,791,2256,0.021646738052368164,True
DFS,13,3128,0,0,0.009046077728271484,False
DFS,14,4135,0,0,0.013485193252563477,False
DFS,15,7571,0,0,0.019550085067749023,False
DFS,16,8072,910,2590,0.02174830436706543,True
DFS,17,4740,0,0,0.013538599014282227,False
DFS,18,782,722,2092,0.002369403839111328,True
DFS,19,7327,0,0,0.020403623580932617,False
DFS,20,1106,0,0,0.00337982177734375,False
DFS,21,1328,0,0,0.0040874481201171875,False
DFS,22,5013,0,0,0.039362430572509766,False
DFS,23,9023,182,518,0.02339959144592285,True
DFS,24,6800,0,0,0.018239259719848633,False
DFS,25,7110,0,0,0.019137144088745117,False
DFS,26,1232,0,0,0.003875732421875,False
DFS,27,1053,984,2810,0.0032956600189208984,True
DFS,28,8278,714,2101,0.02181386947631836,True
DFS,29,1978,0,0,0.005879402160644531,False
DFS,30,1425,0,0,0.004298210144042969,False
DFS (limit 10),1,124,0,0,0.0002503395080566406,False
DFS (limit 10),2,97,0,0,0.00019502639770507812,False
DFS (limit 10),3,71,0,0,0.00014734268188476562,False
DFS (limit 10),4,122,0,0,0.00024008750915527344,False
DFS (limit 10),5,141,0,0,0.00026798248291015625,False
DFS (limit 10),6,149,0,0,0.0002827644348144531,False
DFS (limit 10),7,148,0,0,0.0003058910369873047,False
DFS (limit 10),8,141,0,0,0.0002675056457519531,False
DFS (limit 10),9,96,0,0,0.0001857280731201172,False
DFS (limit 10),10,84,0,0,0.0001804828643798828,False
DFS (limit 10),11,98,0,0,0.00021696090698242188,False
DFS (limit 10),12,95,0,0,0.0002009868621826172,False
DFS (limit 10),13,135,0,0,0.0002601146697998047,False
DFS (limit 10),14,108,0,0,0.0002090930938720703,False
DFS (limit 10),15,128,0,0,0.0005195140838623047,False
DFS (limit 10),16,78,0,0,0.000164031982421875,False
DFS (limit 10),17,119,0,0,0.0002300739288330078,False
DFS (limit 10),18,124,0,0,0.00023889541625976562,False
DFS (limit 10),19,126,0,0,0.00025343894958496094,False
DFS (limit 10),20,144,0,0,0.0002875328063964844,False
DFS (limit 10),21,133,0,0,0.00026154518127441406,False
DFS (limit 10),22,127,0,0,0.00024819374084472656,False
DFS (limit 10),23,94,0,0,0.00020241737365722656,False
DFS (limit 10),24,100,0,0,0.00021314620971679688,False
DFS (limit 10),25,99,0,0,0.00020551681518554688,False
DFS (limit 10),26,92,0,0,0.00018405914306640625,False
DFS (limit 10),27,99,0,0,0.00019693374633789062,False
DFS (limit 10),28,141,0,0,0.0002684593200683594,False
DFS (limit 10),29,120,0,0,0.00022935867309570312,False
DFS (limit 10),30,143,0,0,0.0002810955047607422,False
UCS,1,8457,158,555,0.04196739196777344,True
UCS,2,4166,58,145,0.020974397659301758,True
UCS,3,2041,31,115,0.010008096694946289,True
UCS,4,8526,126,205,0.04404187202453613,True
UCS,5,7831,118,262,0.03893113136291504,True
UCS,6,7507,76,203,0.038201332092285156,True
UCS,7,7406,92,282,0.03625893592834473,True
UCS,8,1530,39,104,0.0077397823333740234,True
UCS,9,7750,139,347,0.038559913635253906,True
UCS,10,4486,60,194,0.022162437438964844,True
UCS,11,3071,71,192,0.015087127685546875,True
UCS,12,925,41,53,0.0051021575927734375,True
UCS,13,6012,106,226,0.0314028263092041,True
UCS,14,4827,48,185,0.024959087371826172,True
UCS,15,6018,109,317,0.0465395450592041,True
UCS,16,6015,70,187,0.062375545501708984,True
UCS,17,2942,53,126,0.015186309814453125,True
UCS,18,5284,61,218,0.02763652801513672,True
UCS,19,8558,93,245,0.044133663177490234,True
UCS,20,3265,39,81,0.017284393310546875,True
UCS,21,7585,57,189,0.03869938850402832,True
UCS,22,5295,96,152,0.02769637107849121,True
UCS,23,2753,36,70,0.014487028121948242,True
UCS,24,803,72,84,0.004250288009643555,True
UCS,25,4179,45,176,0.02075362205505371,True
UCS,26,2289,59,91,0.011935234069824219,True
UCS,27,7834,141,329,0.04189872741699219,True
UCS,28,3511,91,122,0.019527196884155273,True
UCS,29,7121,55,204,0.03657817840576172,True
UCS,30,7920,41,152,0.04061460494995117,True
A*,1,1652,54,176,0.012759923934936523,True
A*,2,7520,108,265,0.05811476707458496,True
A*,3,733,47,100,0.005176067352294922,True
A*,4,8428,140,470,0.06384897232055664,True
A*,5,2688,66,178,0.020609140396118164,True
A*,6,4195,88,246,0.032233238220214844,True
A*,7,2167,67,74,0.017655611038208008,True
A*,8,1587,52,124,0.011599302291870117,True
A*,9,1766,53,93,0.013170480728149414,True
A*,10,759,36,100,0.0054798126220703125,True
A*,11,782,41,155,0.005698680877685547,True
A*,12,2265,62,105,0.016813278198242188,True
A*,13,827,43,64,0.005882978439331055,True
A*,14,3151,72,183,0.023556232452392578,True
A*,15,2088,56,189,0.015350580215454102,True
A*,16,1087,41,108,0.007757663726806641,True
A*,17,1645,63,102,0.012243986129760742,True
A*,18,6457,138,221,0.050334930419921875,True
A*,19,3259,82,113,0.023732662200927734,True
A*,20,796,37,141,0.005674123764038086,True
A*,21,3424,71,171,0.025200843811035156,True
A*,22,5354,109,168,0.04005169868469238,True
A*,23,2518,62,103,0.018926143646240234,True
A*,24,2438,64,104,0.01788020133972168,True
A*,25,2273,63,153,0.016571998596191406,True
A*,26,2232,70,105,0.016568422317504883,True
A*,27,5706,110,215,0.04222750663757324,True
A*,28,4334,104,146,0.03293943405151367,True
A*,29,826,38,134,0.006116151809692383,True
A*,30,4202,104,135,0.03194880485534668,True
